OLS,KNN,DecisionTree,RandomForest,BayesianRidge
const,prev_year_dentists,GPT_PCA_dim4,prev_year_access_to_exercise_opportunities,health_social_pca_2
health_social_pca_0,prev_year_low_birthweight,prev_year_access_to_exercise_opportunities,pop_10yr_pct_chg,Prev_Yr_FinS_Pct_GDP
health_social_pca_2,prev_year_mental_health_providers,Prev_Yr_GoTr_Pct_GDP,two_yrs_prior_pct_it_workers,pop_5yr_pct_chg
pop_5yr_pct_chg,prev_year_primary_care_physicians,health_social_pca_2,GPT_PCA_dim3,health_social_pca_0
"Remaining_Tax_Burden(per $1,000 of personal income)",prev_year_sexually_transmitted_infections,GPT_OH_Supportive_Community,prev_year_adult_obesity,"Remaining_Tax_Burden(per $1,000 of personal income)"
Prev_Yr_FinS_Pct_GDP,Business plan templates,State_Minimum_Wage_(federal floor is $7.25),population_2020,population_2020
population_2020,side hustle_pct,GPT_OH_Limited_Tech_n_Infra,Prev_Yr_EntS_Pct_GDP,Prev_Yr_EntS_Pct_GDP
health_social_pca_1,death_pct_diff,Business plan templates,Prev_Yr_FinS_Pct_GDP,health_social_pca_1
prev_year_long_commute_driving_alone,GPT_PCA_dim2,coastline_flag,Prev_Yr_Manu_Pct_GDP,prev_year_children_in_single_parent_households
prev_year_adult_obesity,GPT_PCA_dim5,GPT_OH_Limited_Financing,prev_year_unemployment,website hosting service_pct
"Property_Tax_Burden_(per $1,000 of personal income)",GPT_OH_Low_Cost_of_Living,GPT_OH_Large_Customer_Base,State_Minimum_Wage_(federal floor is $7.25),Prev_Yr_GoTr_Pct_GDP
Prev_Yr_Agri_Pct_GDP,pop_5yr_pct_chg,GPT_OH_Unfavorable_Location,GPT_OH_Natural_Resources,GPT_OH_Limited_Financing
Prev_Yr_EntS_Pct_GDP,pop_10yr_pct_chg,GPT_OH_Government_Support,prev_year_income_inequality,prev_year_unemployment
Prev_Yr_Gvmt_Pct_GDP,Prev_Yr_Agri_Pct_GDP,Estate_Inheritance_Tax_Levied_Flag,GPT_PCA_dim2,Prev_Yr_Mine_Pct_GDP
GPT_OH_Government_Support,Prev_Yr_Mine_Pct_GDP,website hosting service,coastline_flag,GPT_OH_Government_Support
prev_year_children_in_single_parent_households,Prev_Yr_Retl_Pct_GDP,GPT_OH_Low_Pop_Bad_Weather,website hosting service,Prev_Yr_Gvmt_Pct_GDP
GPT_OH_Limited_Financing,Prev_Yr_FinS_Pct_GDP,GPT_OH_Low_Cost_of_Living,death_pct_diff,"Property_Tax_Burden_(per $1,000 of personal income)"
Prev_Yr_Mine_Pct_GDP,Prev_Yr_EntS_Pct_GDP,Right-to-Work_State_Flag_(option to join or support a union),prev_year_social_associations,Prev_Yr_Agri_Pct_GDP
prev_year_unemployment,Prev_Yr_GoMn_Pct_GDP,GPT_OH_Connected_Economy,GPT_OH_Connected_Economy,prev_year_long_commute_driving_alone
Prev_Yr_GoTr_Pct_GDP,health_social_pca_0,website hosting service_pct,prev_year_children_in_single_parent_households,prev_year_adult_obesity
