OLS,KNN,DecisionTree,RandomForest,BayesianRidge
const,prev_year_access_to_exercise_opportunities,health_social_pca_0,health_social_pca_0,pop_5yr_pct_chg
health_social_pca_0,prev_year_adult_obesity,Prev_Yr_Agri_Pct_GDP,Prev_Yr_Agri_Pct_GDP,prev_year_uninsured
pop_5yr_pct_chg,prev_year_dentists,pop_10yr_pct_chg,Prev_Yr_EntS_Pct_GDP,health_social_pca_0
Prev_Yr_Agri_Pct_GDP,prev_year_low_birthweight,prev_year_primary_care_physicians,population_2020,Prev_Yr_EntS_Pct_GDP
Prev_Yr_EntS_Pct_GDP,prev_year_primary_care_physicians,prev_year_access_to_exercise_opportunities,pop_5yr_pct_chg,prev_year_access_to_exercise_opportunities
prev_year_uninsured,prev_year_unemployment,Prev_Yr_GoMf_Pct_GDP,prev_year_dentists,Prev_Yr_FinS_Pct_GDP
health_social_pca_3,Business plan templates,finance_planning_pca_3,prev_year_preventable_hospital_stays,prev_year_violent_crime
prev_year_access_to_exercise_opportunities,website hosting service,office_pct,GPT_OH_Low_Cost_of_Living,Prev_Yr_Info_Pct_GDP
Prev_Yr_FinS_Pct_GDP,GPT_PCA_dim4,prev_year_unemployment,health_social_pca_2,"Remaining_Tax_Burden(per $1,000 of personal income)"
health_social_pca_2,pop_5yr_pct_chg,GPT_OH_Limited_Financing,Prev_Yr_Gvmt_Pct_GDP,State_Minimum_Wage_(federal floor is $7.25)
prev_year_dentists,pop_10yr_pct_chg,GPT_OH_Natural_Resources,GPT_OH_Limited_Tech_n_Infra,Prev_Yr_Retl_Pct_GDP
Prev_Yr_Gvmt_Pct_GDP,Prev_Yr_Agri_Pct_GDP,GPT_OH_Supportive_Community,prev_year_air_pollution_particulate_matter,prev_year_alcohol_impaired_driving_deaths
apartments_pct,Prev_Yr_Mine_Pct_GDP,GPT_OH_Unfavorable_Location,ecommerce_pct,prev_year_mental_health_providers
"Remaining_Tax_Burden(per $1,000 of personal income)",Prev_Yr_Retl_Pct_GDP,GPT_OH_Limited_Tech_n_Infra,freelancing_pct,apartments_pct
Prev_Yr_Info_Pct_GDP,Prev_Yr_Info_Pct_GDP,GPT_OH_Low_Cost_of_Living,website hosting service_pct,prev_year_long_commute_driving_alone
prev_year_violent_crime,Prev_Yr_EntS_Pct_GDP,coastline_flag,Estate_Inheritance_Tax_Levied_Flag,Prev_Yr_Gvmt_Pct_GDP
State_Minimum_Wage_(federal floor is $7.25),Prev_Yr_GoMn_Pct_GDP,GPT_OH_Connected_Economy,Top_Marginal_Corporate_Income_Tax_Rate,prev_year_dentists
Prev_Yr_Retl_Pct_GDP,health_social_pca_0,website hosting service_pct,prev_year_mental_health_providers,prev_year_adult_obesity
prev_year_unemployment,health_social_pca_2,website hosting service,prev_year_drinking_water_violations,health_social_pca_3
prev_year_adult_obesity,population_2020,Business plan templates,GPT_OH_Government_Support,Prev_Yr_Agri_Pct_GDP
